               hash               | count  | len  
 29fb87859be1a268ec2e208c42ef86a4 |    846 |   19
 35b4ea18771276bb2a8c589146d60d6a |   1590 |   19
 35ee8c1bebdb42d39c5387bb57b48903 |   1508 |   19
 3ef6cc888fb34fc0d41c83f785d25923 |    989 |   19
 400b9d7c16e7546ea7ebee83d3533e7d |    513 |   19
 4501221536c6cc4083c494df27d0a5ad |    630 |   19
 486bf3b48d6b02f216e2d8e87865cf13 |    614 |   19
 4b9ac96dddd9cce94f6cfafcc9227836 |    859 |   19
 50f814c485761e26de6c304007430f42 |   2397 |   19
 525ecd2072acf1d6a9f0ce6eec7e9ea2 |    707 |   19
 55e9eaf522ed91c79969883581caa467 |    651 |   19
 5e187df6ea737fe5d79870f2715ae1a3 |    576 |   19
 639e9f6952f74ae90cb5306aaaaaf397 |   1708 |   19
 6726d8c1284b5e8f6a72fc30af4d56d1 |    666 |   19
 6ad85a1b19ab9dc04780b3efe349e291 |   1758 |   19
 728de1ff0c34d3f7a245d08e4fb0f825 |    768 |   19
 7fb1862a6e3d33afbb68d7dd571ee40a |    662 |   19
 84c551f3809d3661905c1666d09035b2 |   1433 |   19
 852a18a3ce2a74849ca17d389ee2fdbb |   1195 |   19
 8eac83194c59311df50446f94bb01e20 |    523 |   19
 9257a6b68cb56f352f195cf51105a426 |    529 |   19
 951e30bef3e78f937d4b014cef700705 |   1708 |   19
 988949092679ead62bcef6cfa6513724 |    781 |   19
 988c8254732ac666cc7b4a193859ebec |   1858 |   19
 9a38e148a966d21952423cc803649a27 |   4513 |   19
 9c696a9ab92aef645f345aa2b698066d |   1006 |   19
 a01a3631fe7be76c9485b25d7cd752d1 |    589 |   19
 a7fe984a39d32c52523d167cf86181e6 |   1170 |   19
 af5732d982f77f4705548ca018430cc1 |    593 |   19
 af6a60c15ab8deaea6367034ee800a87 |   1684 |   19
 b5779ef2e3e8d4ec3d26596278db567c |    784 |   19
 b8fe0d73dc2eb29b68f37d9b25b926d2 |    854 |   19
 bcd54d68a732e08e01f2dda486a2f615 |    726 |   19
 c724c2849dd9b024f6fd35fd3bd53b51 |    651 |   19
 c798d633cb255bf2020250b6a9845b24 |   1865 |   19
 c8ede91ab2022f308d5ced166d6e546a |    823 |   19
 d1553659f3a5aaf2c70eac15e647062b |    522 |   19
 d2ccfd208330ee6f2b55a41a62d468ef |   5860 |   19
 dafd5be097203fcd6ceb4d9da6a6bab5 |    609 |   19
 dccf6d38da8a85bb9d345974520cc4ba |    535 |   19
 e93aec49c5400eb19ec0356bbaf2f0b7 |   2350 |   19
 eb63b9fba5e3b18f9f137b267559dedb |   4990 |   19
 f73fdfe7a7e75867a840ebd4893e9d85 |    587 |   19
 f74f9ddc08731a82aa87606434051f4c |    698 |   19
 f8f289e5be5ad023eb1a9c2cdb276e2c |    652 |   19
 f9f0e22f8b82e1665070b770f6221b96 |   1002 |   19
 01de76900321042a557b55fea87bf90d |    536 |   18
 0d33bb3f95f9dcedebe021b85871c64e |   1008 |   18
 10b0430a2712293e6bb306b45d1d56fd |    617 |   18
 140908e1410384bf3e25d9a3b32af62f |    833 |   18
 17ef1e107e7dee68e0e01a15805788a8 |   1275 |   18
 204041f95173cc335ee7fdd4303d8e77 |    882 |   18
 20ebe11367a3a86bfdf86c40a5807d94 |    666 |   18
 22abba13e87c4a110802a461feecb918 |   2077 |   18
 2d1538d09c0180afb7fd3e293607c8f9 |   1425 |   18
 2f92a08a098a1cbe4e2dbd41f1afc93f |   1340 |   18
 37c9a38c06467aa05bced68246fde083 |   1528 |   18
 40dfca001c0256ad2aff6fff41da582c |    977 |   18
 428a83a0c15cd63c7f7231e04338b45e |    641 |   18
 47314cc04b44fa04ae8dda20c9dde236 |    847 |   18
 48fc944ba5d0c7571dd2a30358186175 |    547 |   18
 529db5af0254ace01b1693e3bb1d50e4 |    520 |   18
